"cross_space","cross_run","p_obs","core_core","core_trans","trans_core","trans_trans","land_het","d","hp"
"var","2.5%",0.5,5.22844753768787,2.02633723671951,1.4508333715176,5.78800372201094,0.000977517106549364,"g1","0.5"
"var","2.5%",0.6,5.53204449516587,1.97132963327835,2.08149285190616,5.15754186904326,0.000977517106549364,"g1","0.5"
"var","2.5%",0.7,5.9525293255132,1.90916668098577,2.79437610257056,5.06439833058407,0.000977517106549364,"g1","0.5"
"var","2.5%",0.8,6.23602248384806,1.82909008335624,3.35968658357771,4.69667393599554,0.000977517106549364,"g1","0.5"
"var","2.5%",0.9,6.52093268400996,1.76175034747678,4.0506941898827,4.32655744058529,0.000977517106549364,"g1","0.5"
"var","2.5%",1,6.7045453590848,1.75167705278592,4.68036152381934,4.1932511226173,0.000977517106549364,"g1","0.5"
"var","50%",0.1,1.17072183528837,4.91655784152004,0.0144479701246334,9.36691018679741,0.000977517106549364,"g1","0.5"
"var","50%",0.2,2.776033552511,3.37467829759286,0.185670496548143,9.4907546355694,0.000977517106549364,"g1","0.5"
"var","50%",0.3,4.27273061385019,2.77906156448558,0.606708783907625,8.61385592314272,0.000977517106549364,"g1","0.5"
"var","50%",0.4,5.34936595032991,2.45977192540323,1.22733143557551,7.63723041911046,0.000977517106549364,"g1","0.5"
"var","50%",0.5,6.05460301732038,2.27590706714321,1.96601505223607,6.89769577071114,0.000977517106549364,"g1","0.5"
"var","50%",0.6,6.62252709173387,2.1325824398216,2.74965634164223,6.32918604517962,0.000977517106549364,"g1","0.5"
"var","50%",0.7,7.12491122159091,2.05534188278959,3.62297193838587,5.81902330385508,0.000977517106549364,"g1","0.5"
"var","50%",0.8,7.44597499694526,1.99834041651393,4.45039100684262,5.49112931864003,0.000977517106549364,"g1","0.5"
"var","50%",0.9,7.79039417613636,1.93156616568915,5.23181235871823,5.28749980907869,0.000977517106549364,"g1","0.5"
"var","50%",1,7.99621498503177,1.89028659197825,5.94161005849829,5.00187866568915,0.000977517106549364,"g1","0.5"
"var","97.5%",0.1,1.24914830003666,5.77728991019061,0.0304953119272361,10.9427094072657,0.000977517106549364,"g1","0.5"
"var","97.5%",0.2,3.22637947805932,3.79629450375733,0.268735036542339,11.1412023460411,0.000977517106549364,"g1","0.5"
"var","97.5%",0.3,5.0767925601784,3.17877785541911,0.811329294393023,9.78036515132423,0.000977517106549364,"g1","0.5"
"var","97.5%",0.4,6.54717512829912,2.7342770812332,1.57591871334311,8.72011470552297,0.000977517106549364,"g1","0.5"
"var","97.5%",0.5,7.64022253787879,2.57920401564791,2.50797795718017,7.88740969422043,0.000977517106549364,"g1","0.5"
"var","97.5%",0.6,8.35211213858596,2.34466706664681,3.39932404310239,7.30428978704637,0.000977517106549364,"g1","0.5"
"var","97.5%",0.7,9.02181180504643,2.26188855063997,4.47249816715542,6.74206547741783,0.000977517106549364,"g1","0.5"
"var","97.5%",0.8,9.61954327804252,2.15635672501222,5.54037279294966,6.26976200226815,0.000977517106549364,"g1","0.5"
"var","97.5%",0.9,9.97070617974096,2.09826898807887,6.31417426056177,5.86195184105419,0.000977517106549364,"g1","0.5"
"var","97.5%",1,10.3098860963465,2.07655011398002,7.31405295393451,5.62950727028348,0.000977517106549364,"g1","0.5"
"mean","2.5%",0.1,3.1125732421875,4.5619873046875,0.005322265625,1.6870849609375,0.000977517106549364,"g1","0.6"
"mean","2.5%",0.2,5.7380126953125,3.4151611328125,0.0856201171875,1.8457275390625,0.000977517106549364,"g1","0.6"
"mean","2.5%",0.3,7.0097900390625,2.91240234375,0.2132080078125,1.873583984375,0.000977517106549364,"g1","0.6"
"mean","2.5%",0.4,7.7658447265625,2.627197265625,0.355419921875,1.8033203125,0.000977517106549364,"g1","0.6"
"mean","2.5%",0.5,8.303759765625,2.43125,0.4831298828125,1.814599609375,0.000977517106549364,"g1","0.6"
"mean","2.5%",0.6,8.6897216796875,2.2461181640625,0.6260009765625,1.8006103515625,0.000977517106549364,"g1","0.6"
"mean","2.5%",0.7,8.9760498046875,2.1682373046875,0.7391845703125,1.7904052734375,0.000977517106549364,"g1","0.6"
"mean","2.5%",0.8,9.2139404296875,2.1229736328125,0.85732421875,1.783203125,0.000977517106549364,"g1","0.6"
"mean","2.5%",0.9,9.40703125,2.0452880859375,0.9531982421875,1.7780029296875,0.000977517106549364,"g1","0.6"
"mean","2.5%",1,9.571826171875,1.9789306640625,1.0392333984375,1.76328125,0.000977517106549364,"g1","0.6"
"mean","50%",0.1,3.2412109375,5.05029296875,0.0126953125,2.29052734375,0.000977517106549364,"g1","0.6"
"mean","50%",0.2,6.09375,3.685546875,0.13916015625,2.55029296875,0.000977517106549364,"g1","0.6"
"mean","50%",0.3,7.57177734375,3.1279296875,0.33349609375,2.5595703125,0.000977517106549364,"g1","0.6"
"mean","50%",0.4,8.4482421875,2.7802734375,0.54296875,2.52783203125,0.000977517106549364,"g1","0.6"
"mean","50%",0.5,9.0341796875,2.57275390625,0.73681640625,2.4697265625,0.000977517106549364,"g1","0.6"
"mean","50%",0.6,9.48388671875,2.41796875,0.92138671875,2.43896484375,0.000977517106549364,"g1","0.6"
