"cross_space","cross_run","p_obs","comm_stat","(0,0.33]","(0.33,0.66]","(0.66,1]","land_het","d","hp"
"mean","50%",0.5,"abun",1.27001953125,3.60595703125,45.07568359375,0.000977517106549364,"g1","0.5"
"mean","50%",0.6,"rich",0.92578125,1.806640625,9.2255859375,0.000977517106549364,"g1","0.5"
"mean","50%",0.6,"abun",1.26953125,3.71630859375,54.96240234375,0.000977517106549364,"g1","0.5"
"mean","50%",0.7,"rich",0.90771484375,1.73974609375,9.7724609375,0.000977517106549364,"g1","0.5"
"mean","50%",0.7,"abun",1.27587890625,3.7822265625,64.87451171875,0.000977517106549364,"g1","0.5"
"mean","50%",0.8,"rich",0.8935546875,1.72998046875,10.1611328125,0.000977517106549364,"g1","0.5"
"mean","50%",0.8,"abun",1.2724609375,3.916015625,74.82861328125,0.000977517106549364,"g1","0.5"
"mean","50%",0.9,"rich",0.89306640625,1.68701171875,10.5302734375,0.000977517106549364,"g1","0.5"
"mean","50%",0.9,"abun",1.28466796875,3.9755859375,84.75048828125,0.000977517106549364,"g1","0.5"
"mean","50%",1,"rich",0.88818359375,1.67626953125,10.84375,0.000977517106549364,"g1","0.5"
"mean","50%",1,"abun",1.2998046875,4.03369140625,94.63330078125,0.000977517106549364,"g1","0.5"
"mean","97.5%",0.1,"rich",1.271044921875,2.3423828125,2.628564453125,0.000977517106549364,"g1","0.5"
"mean","97.5%",0.1,"abun",1.4989990234375,3.4248291015625,5.945068359375,0.000977517106549364,"g1","0.5"
"mean","97.5%",0.2,"rich",1.1922607421875,2.2449951171875,5.37333984375,0.000977517106549364,"g1","0.5"
"mean","97.5%",0.2,"abun",1.472265625,3.6561767578125,15.7482177734375,0.000977517106549364,"g1","0.5"
"mean","97.5%",0.3,"rich",1.15771484375,2.0731201171875,7.09228515625,0.000977517106549364,"g1","0.5"
"mean","97.5%",0.3,"abun",1.487451171875,3.68466796875,25.737646484375,0.000977517106549364,"g1","0.5"
"mean","97.5%",0.4,"rich",1.0663818359375,2.0251708984375,8.27041015625,0.000977517106549364,"g1","0.5"
