"cross_space","cross_run","p_obs","trans_rich","trans_abun","core_rich","core_abun","land_het","d","hp"
"var","2.5%",0.7,5.20580293388777,20.654977700391,6.71611366309262,41.8308069671004,0.000977517106549364,"g1","0.6"
"var","2.5%",0.8,5.97274101906158,26.4248745646994,6.85970803835991,41.8541227547654,0.000977517106549364,"g1","0.6"
"var","2.5%",0.9,6.67007544732863,34.0358386266266,6.95670646898674,42.2100817906891,0.000977517106549364,"g1","0.6"
"var","2.5%",1,7.20013428927633,41.526705189814,7.18112239296951,42.223350630804,0.000977517106549364,"g1","0.6"
"var","50%",0.1,0.710188611162023,0.974896711571359,3.10600094315127,9.16655497770039,0.000977517106549364,"g1","0.6"
"var","50%",0.2,1.70521749755621,3.06018889754399,4.59705627978372,17.4542581179741,0.000977517106549364,"g1","0.6"
"var","50%",0.3,2.7477905631415,6.08725772085777,5.71436549211877,24.9770851470858,0.000977517106549364,"g1","0.6"
"var","50%",0.4,3.82418390686095,10.260598041911,6.41810525873656,31.7602142900782,0.000977517106549364,"g1","0.6"
"var","50%",0.5,4.65976247479839,15.2446957287085,7.12205217497556,38.4599060476234,0.000977517106549364,"g1","0.6"
"var","50%",0.6,5.70805745204057,21.2681427747739,7.48675912985704,43.3435934445259,0.000977517106549364,"g1","0.6"
"var","50%",0.7,6.51462600424609,28.7870186873778,8.02008110337243,48.1959578140274,0.000977517106549364,"g1","0.6"
"var","50%",0.8,7.39619608382209,37.0666463335472,8.30199121380132,52.1850347285863,0.000977517106549364,"g1","0.6"
"var","50%",0.9,8.15479804343842,46.2464097247678,8.55974118707234,54.3024460838221,0.000977517106549364,"g1","0.6"
"var","50%",1,8.79276255498534,56.8604494096713,8.73094366675831,57.4428973454301,0.000977517106549364,"g1","0.6"
"var","97.5%",0.1,0.943026217314272,1.31058859130621,3.48835592409732,9.87627184617088,0.000977517106549364,"g1","0.6"
"var","97.5%",0.2,2.10382990534121,3.75548020527859,5.37435334952346,18.5834091290934,0.000977517106549364,"g1","0.6"
"var","97.5%",0.3,3.27059267702224,7.22091046554252,6.77433120265152,27.460743213702,0.000977517106549364,"g1","0.6"
"var","97.5%",0.4,4.55938332894214,12.6063679893695,7.852552617913,34.8067996624511,0.000977517106549364,"g1","0.6"
"var","97.5%",0.5,5.68988384347507,18.6378504599294,8.68970285007331,41.7810610833639,0.000977517106549364,"g1","0.6"
"var","97.5%",0.6,6.68939277000092,26.1928937895207,9.37188022647086,47.8782489079301,0.000977517106549364,"g1","0.6"
"var","97.5%",0.7,7.87148895711144,35.0451354204851,9.72141886512555,54.9328102089443,0.000977517106549364,"g1","0.6"
"var","97.5%",0.8,8.75582233626588,44.7088588203736,10.215543667522,58.8705356154157,0.000977517106549364,"g1","0.6"
"var","97.5%",0.9,9.75929712797073,56.5819197758202,10.594582416911,65.4415127124954,0.000977517106549364,"g1","0.6"
"var","97.5%",1,10.4981528124618,69.3387891006843,10.8672565419187,70.4025301130636,0.000977517106549364,"g1","0.6"
"mean","2.5%",0.1,0.2878173828125,0.3205810546875,5.053955078125,9.2549560546875,0.000977517106549364,"g1","0.7"
"mean","2.5%",0.2,0.5330078125,0.6637939453125,6.976904296875,18.5949462890625,0.000977517106549364,"g1","0.7"
"mean","2.5%",0.3,0.7244140625,0.9882080078125,7.9713623046875,28.2046630859375,0.000977517106549364,"g1","0.7"
"mean","2.5%",0.4,0.9049072265625,1.310595703125,8.624658203125,37.4270751953125,0.000977517106549364,"g1","0.7"
"mean","2.5%",0.5,1.0411865234375,1.615576171875,9.0954345703125,46.83671875,0.000977517106549364,"g1","0.7"
"mean","2.5%",0.6,1.1556396484375,1.9576904296875,9.4170654296875,56.306494140625,0.000977517106549364,"g1","0.7"
"mean","2.5%",0.7,1.2784423828125,2.2393798828125,9.7010986328125,65.75810546875,0.000977517106549364,"g1","0.7"
"mean","2.5%",0.8,1.380859375,2.5998291015625,9.90966796875,75.0238037109375,0.000977517106549364,"g1","0.7"
